"time"	"wind"	"name"	"country"	"birth"	"race"	"location"	"date"	"age"
"1"	9.58	"+0.9"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Berlin"	2009-08-16	22.9869952087611
"2"	9.63	"+1.5"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"London"	2012-08-05	25.9575633127995
"3"	9.69	"±0.0"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Beijing"	2008-08-16	21.9876796714579
"4"	9.69	"+2.0"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Shanghai"	2009-09-20	27.1156741957563
"5"	9.69	"-0.1"	"Yohan Blake"	"JAM"	1989-12-26	"1"	"Lausanne"	2012-08-23	22.6584531143053
"6"	9.71	"+0.9"	"Tyson Gay"	"USA"	1982-08-09	"2"	"Berlin"	2009-08-16	27.0198494182067
"7"	9.72	"+1.7"	"Usain Bolt"	"JAM"	1986-08-21	"1rA"	"New York City"	2008-05-31	21.7768651608487
"8"	9.72	"+0.2"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Lausanne"	2008-09-02	25.7768651608487
"9"	9.74	"+1.7"	"Asafa Powell"	"JAM"	1982-11-23	"1h2"	"Rieti"	2007-09-09	24.7939767282683
"10"	9.74	"+0.9"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"Ad-Dawhah"	2015-05-15	33.2566735112936
"11"	9.75	"+1.1"	"Yohan Blake"	"JAM"	1989-12-26	"1"	"Kingston"	2012-06-29	22.507871321013
"12"	9.75	"+1.5"	"Yohan Blake"	"JAM"	1989-12-26	"2"	"London"	2012-08-05	22.6091718001369
"13"	9.75	"+0.9"	"Justin Gatlin"	"USA"	1982-02-10	"1rA"	"Roma"	2015-06-04	33.3114305270363
"14"	9.75	"+1.4"	"Justin Gatlin"	"USA"	1982-02-10	"1rA"	"Lausanne"	2015-07-09	33.4072553045859
"15"	9.76	"+1.8"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Kingston"	2008-05-03	21.700205338809
"16"	9.76	"+1.3"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Bruxelles"	2011-09-16	25.0704996577687
"17"	9.76	"-0.1"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Roma"	2012-05-31	25.7768651608487
"18"	9.76	"+1.4"	"Yohan Blake"	"JAM"	1989-12-26	"1rA"	"Zürich"	2012-08-30	22.6776180698152
"19"	9.77	"+1.6"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Athínai"	2005-06-14	22.5571526351814
"20"	9.77	"+1.5"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Gateshead"	2006-06-11	23.5482546201232
"21"	9.77	"+1.0"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Zürich"	2006-08-18	23.7344284736482
"22"	9.77	"+1.6"	"Tyson Gay"	"USA"	1982-08-09	"1q1"	"Eugene"	2008-06-28	25.886379192334
"23"	9.77	"-1.3"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Bruxelles"	2008-09-05	22.0424366872005
"24"	9.77	"+0.9"	"Asafa Powell"	"JAM"	1982-11-23	"1h1"	"Rieti"	2008-09-07	25.7905544147844
"25"	9.77	"+0.4"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Roma"	2009-07-10	26.9185489390828
"26"	9.77	"-0.3"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Moskva"	2013-08-11	26.9733059548255
"27"	9.77	"+0.6"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"Bruxelles"	2014-09-05	32.5667351129363
"28"	9.77	"+0.9"	"Justin Gatlin"	"USA"	1982-02-10	"1s2"	"Beijing"	2015-08-23	33.5304585900068
"29"	9.78	"±0.0"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Rieti"	2007-09-09	24.7939767282683
"30"	9.78	"-0.4"	"Tyson Gay"	"USA"	1982-08-09	"1"	"London"	2010-08-13	28.0109514031485
"31"	9.78	"+0.9"	"Nesta Carter"	"JAM"	1985-11-10	"1"	"Rieti"	2010-08-29	24.7994524298426
"32"	9.78	"+1.0"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Lausanne"	2011-06-30	28.5995893223819
"33"	9.78	"-0.3"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"Monaco"	2015-07-17	33.429158110883
"34"	9.79	"+0.1"	"Maurice Greene"	"USA"	1974-07-23	"1r3"	"Athínai"	1999-06-16	24.8980150581793
"35"	9.79	"-0.2"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Saint-Denis"	2009-07-17	22.9048596851472
"36"	9.79	"+0.1"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Bruxelles"	2010-08-27	28.0492813141684
"37"	9.79	"+1.1"	"Tyson Gay"	"USA"	1982-08-09	"1h1"	"Clermont"	2011-06-04	28.8186173853525
"38"	9.79	"+0.6"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Oslo"	2012-06-07	25.7960301163587
